1-1	0-3	Gli
1-2	4-10	autori
1-3	11-20	riportano
1-4	21-23	il
1-5	24-28	caso
1-6	29-36	clinico
1-7	37-49	recentemente
1-8	50-59	osservato
1-9	60-62	di
1-10	63-66	una
1-11	67-75	insolita
1-12	76-87	complicanza
1-13	88-98	chirurgica
1-14	99-106	occorsa
1-15	107-110	nel
1-16	111-115	post
1-17	116-127	angiografia
1-18	128-138	coronarica
1-19	138-139	.

2-1	140-143	G.F
2-2	143-144	.

3-1	145-146	(
3-2	146-153	maschio
3-3	153-154	,
3-4	155-157	59
3-5	158-162	anni
3-6	162-163	)
3-7	164-170	veniva
3-8	171-181	sottoposto
3-9	182-183	a
3-10	184-192	ricovero
3-11	193-195	in
3-12	196-201	virtù
3-13	202-204	di
3-14	205-207	un
3-15	207-208	’
3-16	208-221	ingravescente
3-17	222-229	dispnea
3-18	230-239	associata
3-19	240-242	ad
3-20	243-249	angina
3-21	250-253	per
3-22	254-260	sforzi
3-23	261-263	di
3-24	264-271	modesta
3-25	272-278	entità
3-26	278-279	.

4-1	280-282	In
4-2	283-291	anamnesi
4-3	291-292	:
4-4	293-304	Cardiopatia
4-5	305-315	dilatativa
4-6	316-317	(
4-7	317-318	a
4-8	319-329	verosimile
4-9	330-339	etiologia
4-10	340-354	post-ischemica
4-11	354-355	)
4-12	355-356	;
4-13	357-370	fibrillazione
4-14	371-378	atriale
4-15	379-389	permanente
4-16	389-390	;
4-17	391-399	sindrome
4-18	400-410	metabolica
4-19	411-414	con
4-20	415-422	obesità
4-21	423-428	grave
4-22	429-430	(
4-23	430-431	H
4-24	431-432	,
4-25	433-434	W
4-26	434-435	,
4-27	436-439	BSA
4-28	440-443	sec
4-29	443-444	.

5-1	445-454	Mosteller
5-2	455-462	formula
5-3	462-463	)
5-4	463-464	;
5-5	465-469	BPCO
5-6	470-471	(
5-7	471-474	con
5-8	475-482	riserva
5-9	483-486	per
5-10	487-491	OSAS
5-11	491-492	)
5-12	492-493	.

6-1	494-497	Nel
6-2	498-505	recente
6-3	506-513	passato
6-4	514-515	(
6-5	515-519	2010
6-6	519-520	)
6-7	520-521	,
6-8	522-524	il
6-9	525-533	paziente
6-10	534-537	era
6-11	538-543	stato
6-12	544-554	sottoposto
6-13	555-557	ad
6-14	558-566	impianto
6-15	567-569	di
6-16	570-581	endoprotesi
6-17	582-585	per
6-18	586-589	AAA
6-19	589-590	.

7-1	591-593	La
7-2	594-602	presenza
7-3	603-605	di
7-4	606-617	familiarità
7-5	618-621	per
7-6	622-625	CAD
7-7	626-628	ed
7-8	629-631	il
7-9	632-637	forte
7-10	638-647	tabagismo
7-11	648-663	rappresentavano
7-12	664-667	gli
7-13	668-677	ulteriori
7-14	678-685	fattori
7-15	686-688	di
7-16	689-696	rischio
7-17	697-700	per
7-18	701-709	malattie
7-19	710-725	cardiovascolari
7-20	725-726	.

8-1	727-728	L
8-2	728-729	’
8-3	729-734	esame
8-4	735-750	coronarografico
8-5	750-751	,
8-6	752-761	praticato
8-7	762-766	dopo
8-8	767-771	aver
8-9	772-782	sottoposto
8-10	783-785	il
8-11	786-794	paziente
8-12	795-797	ai
8-13	798-804	comuni
8-14	805-812	profili
8-15	813-825	ematochimici
8-16	826-827	d
8-17	827-828	’
8-18	828-836	ingresso
8-19	837-839	ed
8-20	840-844	agli
8-21	845-850	esami
8-22	851-862	strumentali
8-23	863-875	cardiologici
8-24	876-878	di
8-25	879-884	primo
8-26	885-892	livello
8-27	892-893	,
8-28	894-897	non
8-29	898-904	rivelò
8-30	905-907	la
8-31	908-916	presenza
8-32	917-919	di
8-33	920-927	lesioni
8-34	928-939	coronariche
8-35	940-945	degne
8-36	946-948	di
8-37	949-956	rilievo
8-38	957-968	concludendo
8-39	969-972	per
8-40	973-974	“
8-41	974-981	arterie
8-42	982-991	coronarie
8-43	992-1009	angiograficamente
8-44	1010-1017	indenni
8-45	1017-1018	”
8-46	1018-1019	.

9-1	1020-1022	Il
9-2	1023-1029	giorno
9-3	1030-1038	seguente
9-4	1039-1043	alla
9-5	1044-1053	procedura
9-6	1054-1066	angiografica
9-7	1067-1069	il
9-8	1070-1078	paziente
9-9	1079-1084	esibì
9-10	1085-1088	una
9-11	1089-1103	sintomatologia
9-12	1103-1104	,
9-13	1105-1113	dapprima
9-14	1114-1121	larvata
9-15	1121-1122	,
9-16	1123-1137	caratterizzata
9-17	1138-1140	da
9-18	1141-1148	cefalea
9-19	1148-1149	,
9-20	1150-1156	nausea
9-21	1157-1159	ed
9-22	1160-1173	epigastralgia
9-23	1173-1174	,
9-24	1175-1181	quindi
9-25	1181-1182	,
9-26	1183-1185	in
9-27	1186-1192	rapida
9-28	1193-1201	sequenza
9-29	1201-1202	,
9-30	1203-1205	il
9-31	1206-1212	quadro
9-32	1213-1220	clinico
9-33	1221-1223	si
9-34	1224-1234	complicava
9-35	1235-1238	con
9-36	1239-1241	la
9-37	1242-1250	comparsa
9-38	1251-1253	di
9-39	1254-1260	febbre
9-40	1260-1261	,
9-41	1262-1275	epigastralgia
9-42	1276-1287	refrattaria
9-43	1288-1290	ai
9-44	1291-1297	comuni
9-45	1298-1309	trattamenti
9-46	1310-1323	farmacologici
9-47	1324-1325	e
9-48	1326-1331	seria
9-49	1332-1346	compromissione
9-50	1347-1352	delle
9-51	1353-1358	stato
9-52	1359-1367	generale
9-53	1368-1382	caratterizzata
9-54	1383-1385	da
9-55	1386-1392	rialzo
9-56	1393-1398	delle
9-57	1399-1411	transaminasi
9-58	1411-1412	,
9-59	1413-1427	iperamilasemia
9-60	1427-1428	,
9-61	1429-1440	leucocitosi
9-62	1441-1445	fino
9-63	1446-1450	alla
9-64	1451-1460	necessità
9-65	1461-1463	di
9-66	1464-1472	sostegno
9-67	1473-1491	cardiorespiratorio
9-68	1492-1500	avanzato
9-69	1500-1501	.

10-1	1502-1512	Nonostante
10-2	1513-1515	le
10-3	1516-1523	avverse
10-4	1524-1532	premesse
10-5	1532-1533	,
10-6	1534-1535	l
10-7	1535-1536	’
10-8	1536-1545	etiologia
10-9	1546-1551	della
10-10	1552-1563	complicanza
10-11	1564-1574	chirurgica
10-12	1575-1585	addominale
10-13	1585-1586	,
10-14	1587-1594	davvero
10-15	1595-1603	inusuale
10-16	1603-1604	,
10-17	1605-1611	veniva
10-18	1612-1624	identificata
10-19	1625-1636	rapidamente
10-20	1636-1637	,
10-21	1638-1640	ed
10-22	1641-1643	il
10-23	1644-1652	paziente
10-24	1653-1659	veniva
10-25	1660-1670	sottoposto
10-26	1671-1673	ad
10-27	1674-1684	intervento
10-28	1685-1695	chirurgico
10-29	1696-1697	d
10-30	1697-1698	’
10-31	1698-1705	urgenza
10-32	1705-1706	.

11-1	1707-1709	Il
11-2	1710-1717	decorso
11-3	1718-1732	postoperatorio
11-4	1733-1736	non
11-5	1737-1741	dava
11-6	1742-1747	adito
11-7	1748-1750	ad
11-8	1751-1760	ulteriori
11-9	1761-1774	complicazioni
11-10	1774-1775	,
11-11	1776-1787	consentendo
11-12	1788-1790	di
11-13	1791-1800	dimettere
11-14	1801-1803	il
11-15	1804-1812	paziente
11-16	1813-1815	in
11-17	1816-1821	sesta
11-18	1822-1830	giornata
11-19	1830-1831	.
