1-1	0-2	33
1-2	3-9	urteko
1-3	10-17	emakume
1-4	18-23	baten
1-5	24-28	kasu
1-6	29-37	klinikoa
1-7	38-47	aurkezten
1-8	48-50	da
1-9	50-51	.

2-1	52-57	Duela
2-2	58-66	urtebete
2-3	67-79	epigastrioko
2-4	80-84	mina
2-5	85-92	jasaten
2-6	93-95	du
2-7	96-99	eta
2-8	100-101	6
2-9	102-113	hilabetetik
2-10	114-118	hona
2-11	118-119	,
2-12	120-130	egunerokoa
2-13	131-133	da
2-14	133-134	,
2-15	135-143	biziagoa
2-16	143-144	,
2-17	145-153	bazkaldu
2-18	154-161	ondoren
2-19	162-167	batik
2-20	168-171	bat
2-21	172-175	eta
2-22	176-187	noizbehinka
2-23	188-196	gorakoak
2-24	197-201	ditu
2-25	201-202	.

3-1	203-205	Ez
3-2	206-208	du
3-3	209-220	aldaketarik
3-4	221-232	sabel-huste
3-5	233-242	erritmoan
3-6	242-243	,
3-7	244-248	ezta
3-8	249-263	pisu-galerarik
3-9	264-267	eta
3-10	268-278	elikaduran
3-11	279-288	aldaketak
3-12	289-293	egin
3-13	294-299	arren
3-14	299-300	,
3-15	301-309	sabeleko
3-16	310-314	mina
3-17	315-317	ez
3-18	318-320	da
3-19	321-332	desagertzen
3-20	332-333	.

4-1	334-338	Bere
4-2	339-350	aurrekarien
4-3	351-357	artean
4-4	358-368	apendizeko
4-5	369-372	eta
4-6	373-387	obulutegietako
4-7	388-396	kirurgia
4-8	397-399	du
4-9	399-400	,
4-10	401-406	kiste
4-11	407-410	eta
4-12	411-428	endometriomagatik
4-13	428-429	.

5-1	430-436	Ahozko
5-2	437-451	antisorgailuak
5-3	452-456	dira
5-4	457-461	bere
5-5	462-472	tratamendu
5-6	473-480	bakarra
5-7	480-481	.

6-1	482-491	Lehenbizi
6-2	492-497	beste
6-3	498-506	ospitale
6-4	507-513	batean
6-5	514-520	ikertu
6-6	521-526	zuten
6-7	526-527	,
6-8	528-536	sabeleko
6-9	537-546	ekografia
6-10	546-547	,
6-11	548-560	gastroskopia
6-12	560-561	,
6-13	562-577	heste-igarotzea
6-14	577-578	,
6-15	579-586	eskaner
6-16	587-603	abdominopelbikoa
6-17	604-607	eta
6-18	608-618	analitikak
6-19	619-627	normalak
6-20	628-634	izanik
6-21	634-635	.

7-1	636-640	Gure
7-2	641-651	ospitalean
7-3	652-662	analitikak
7-4	662-663	,
7-5	664-676	gastroskopia
7-6	677-680	eta
7-7	681-693	kolonoskopia
7-8	694-702	normalak
7-9	703-707	dira
7-10	708-711	eta
7-11	712-723	ginekologia
7-12	724-731	aldetik
7-13	732-734	ez
7-14	735-739	dago
7-15	740-753	nabarmentzeko
7-16	754-758	ezer
7-17	758-759	.

8-1	760-767	Ondoren
8-2	768-776	ikerketa
8-3	777-787	baskularra
8-4	788-794	egiten
8-5	795-799	zaio
8-6	799-800	.

9-1	804-823	Angioerresonantzian
9-2	824-829	enbor
9-3	830-841	zeliakoaren
9-4	842-851	jatorrian
9-5	852-853	8
9-6	854-856	mm
9-7	857-865	inguruko
9-8	866-875	estenosia
9-9	876-883	ikusten
9-10	884-886	da
9-11	886-887	,
9-12	888-902	arnasbotatzean
9-13	903-912	handitzen
9-14	913-917	dena
9-15	917-918	,
9-16	919-931	aurkikuntzak
9-17	932-938	erdiko
9-18	939-946	lotailu
9-19	947-957	arkutuaren
9-20	958-972	sindromearekin
9-21	973-976	bat
9-22	977-988	datozelarik
9-23	988-989	.

10-1	990-1004	Arteriografian
10-2	1005-1008	ere
10-3	1008-1009	,
10-4	1010-1021	aurkikuntza
10-5	1022-1030	berdinak
10-6	1031-1042	baieztatzen
10-7	1043-1047	dira
10-8	1047-1048	.

11-1	1049-1055	Erdiko
11-2	1056-1063	lotailu
11-3	1064-1071	arkutua
11-4	1072-1083	diafragmako
11-5	1084-1092	aortaren
11-6	1093-1102	hiatoaren
11-7	1103-1110	gainean
11-8	1111-1121	kokatutako
11-9	1122-1134	tendoi-arkua
11-10	1135-1137	da
11-11	1137-1138	.

12-1	1139-1144	Honen
12-2	1145-1152	aldaera
12-3	1153-1162	anatomiko
12-4	1163-1168	batek
12-5	1169-1174	enbor
12-6	1175-1186	zeliakoaren
12-7	1187-1196	jatorrian
12-8	1197-1207	konpresioa
12-9	1208-1214	eragin
12-10	1215-1221	dezake
12-11	1221-1222	,
12-12	1223-1229	urdail
12-13	1230-1233	eta
12-14	1234-1239	heste
12-15	1240-1246	aldera
12-16	1247-1251	doan
12-17	1252-1263	odol-fluxua
12-18	1264-1273	murriztuz
12-19	1274-1277	eta
12-20	1278-1286	sabeleko
12-21	1287-1291	mina
12-22	1292-1298	sortuz
12-23	1299-1311	bazkalostean
12-24	1311-1312	.

13-1	1313-1320	Tipikoa
13-2	1321-1323	da
13-3	1324-1326	20
13-4	1326-1327	-
13-5	1327-1329	40
13-6	1330-1336	urteko
13-7	1337-1345	paziente
13-8	1346-1354	gaztetan
13-9	1354-1355	,
13-10	1356-1361	batez
13-11	1362-1365	ere
13-12	1366-1376	emakumetan
13-13	1376-1377	.

14-1	1378-1389	Tratamendua
14-2	1390-1400	kirurgikoa
14-3	1401-1403	da
14-4	1403-1404	:
14-5	1405-1410	enbor
14-6	1411-1422	zeliakoaren
14-7	1423-1436	deskonpresioa
14-8	1437-1445	lotailua
14-9	1446-1453	zatituz
14-10	1454-1457	eta
14-11	1458-1463	plexu
14-12	1464-1475	zeliakoaren
14-13	1476-1484	eszisioa
14-14	1484-1485	.
