1-1	0-6	Nekane
1-2	6-7	,
1-3	8-10	45
1-4	11-15	urte
1-5	15-16	.

2-1	17-18	"
2-2	18-28	Gaztetatik
2-3	29-36	lagunek
2-4	37-42	baino
2-5	43-50	gehiago
2-6	51-57	edaten
2-7	58-62	zuen
2-8	62-63	.
2-9	63-64	.
2-10	64-65	.
2-11	65-66	"

3-1	70-74	Aita
3-2	75-78	oso
3-3	79-87	zorrotza
3-4	88-91	eta
3-5	92-102	jeloskorra
3-6	102-103	,
3-7	104-107	ama
3-8	108-117	bakegilea
3-9	118-121	eta
3-10	122-136	depresioarekin
3-11	136-137	.

4-1	138-145	Nekanek
4-2	146-158	bikotearekin
4-3	159-167	harreman
4-4	168-175	toxikoa
4-5	176-178	du
4-6	178-179	,
4-7	180-184	bere
4-8	185-193	familiak
4-9	194-196	ez
4-10	197-205	ulertzen
4-11	206-208	ez
4-12	209-214	duena
4-13	214-215	.

5-1	216-223	Nekanek
5-2	224-226	30
5-3	227-231	urte
5-4	232-239	zituela
5-5	239-240	,
5-6	241-246	aitak
5-7	247-251	bere
5-8	252-258	buruaz
5-9	259-264	beste
5-10	265-269	egin
5-11	270-274	zuen
5-12	274-275	.

6-1	276-283	Ordutik
6-2	284-290	osasun
6-3	291-300	mentalera
6-4	301-304	doa
6-5	304-305	.

7-1	306-309	Epe
7-2	310-318	laburrak
7-3	319-323	edan
7-4	324-328	gabe
7-5	329-337	pasatzen
7-6	338-342	ditu
7-7	342-343	,
7-8	344-349	baina
7-9	350-358	luzaroan
7-10	359-365	edaten
7-11	366-368	du
7-12	368-369	.

8-1	370-377	Askotan
8-2	378-384	banatu
8-3	385-389	nahi
8-4	390-401	izateagatik
8-5	401-402	,
8-6	403-405	ez
8-7	406-408	du
8-8	409-414	inoiz
8-9	415-420	lortu
8-10	420-421	.

9-1	422-428	Edaten
9-2	429-431	ez
9-3	432-439	zuenean
9-4	440-450	zoriontsua
9-5	451-455	zela
9-6	456-461	zioen
9-7	461-462	,
9-8	463-470	ondoren
9-9	471-478	gezurra
9-10	479-483	zela
9-11	484-492	aitortuz
9-12	492-493	,
9-13	494-499	baina
9-14	500-509	oraingoan
9-15	510-514	egia
9-16	515-519	dela
9-17	520-523	dio
9-18	523-524	.

10-1	525-532	Egunero
10-2	533-548	erizainarengana
10-3	549-557	antabusa
10-4	558-566	hartzera
10-5	567-570	doa
10-6	570-571	,
10-7	572-577	baina
10-8	578-586	ezkutuan
10-9	587-593	edaten
10-10	594-604	jarraitzen
10-11	605-607	du
10-12	607-608	…
10-13	609-617	Zergatik
10-14	618-620	ez
10-15	621-623	du
10-16	624-628	utzi
10-17	628-629	,
10-18	630-634	utzi
10-19	635-639	nahi
10-20	640-644	duen
10-21	645-649	hori
10-22	649-650	?

11-1	654-660	Badira
11-2	661-667	egoera
11-3	668-674	zailei
11-4	675-680	aurre
11-5	681-688	egiteko
11-6	689-696	jarrera
11-7	697-707	adiktiboak
11-8	708-718	erabiltzen
11-9	719-727	dituzten
11-10	728-737	pertsonak
11-11	737-738	,
11-12	739-749	sustantzia
11-13	750-757	batzuen
11-14	758-770	menpekotasun
11-15	771-783	psikologikoa
11-16	784-791	garatuz
11-17	791-792	.

12-1	793-799	Egoera
12-2	800-806	zailen
12-3	807-814	aurrean
12-4	815-825	sustantzia
12-5	826-834	horietan
12-6	835-841	babesa
12-7	842-850	bilatzen
12-8	851-855	dute
12-9	855-856	.

13-1	857-864	Denbora
13-2	865-869	pasa
13-3	870-875	ahala
13-4	875-876	,
13-5	877-879	ez
13-6	880-884	dira
13-7	885-892	edozein
13-8	893-900	egoerei
13-9	901-911	sustantzia
13-10	912-918	horiek
13-11	919-923	gabe
13-12	924-929	aurre
13-13	930-937	egiteko
13-14	938-941	gai
13-15	941-942	.

14-1	943-953	Terapeutek
14-2	954-964	estrategia
14-3	965-975	desegokiak
14-4	976-987	erabiltzean
14-5	988-1000	pazientearen
14-6	1001-1009	jarreran
14-7	1010-1018	aldaketa
14-8	1019-1025	ematea
14-9	1026-1036	galarazten
14-10	1037-1039	da
14-11	1039-1040	.

15-1	1044-1055	Profesional
15-2	1056-1067	askorentzat
15-3	1068-1074	Nekane
15-4	1075-1088	frustragarria
15-5	1089-1093	izan
15-6	1094-1101	daiteke
15-7	1101-1102	,
15-8	1103-1108	baina
15-9	1109-1117	laguntza
15-10	1118-1122	hori
15-11	1123-1127	gabe
15-12	1128-1137	ziurrenik
15-13	1138-1144	Nekane
15-14	1145-1153	okerrago
15-15	1154-1160	egonen
15-16	1161-1165	dela
15-17	1166-1172	pentsa
15-18	1173-1181	dezakegu
15-19	1181-1182	,
15-20	1183-1188	baita
15-21	1189-1192	hor
15-22	1193-1199	egonda
15-23	1200-1210	berarengan
15-24	1211-1222	aldaketaren
15-25	1223-1226	bat
15-26	1227-1236	eragiteko
15-27	1237-1243	aukera
15-28	1244-1248	ikus
15-29	1249-1257	dezakegu
15-30	1257-1258	.
