1-1	0-2	14
1-2	3-9	urteko
1-3	10-13	ume
1-4	14-19	baten
1-5	20-25	kasua
1-6	26-35	aurkezten
1-7	36-40	dugu
1-8	40-41	.
1-9	43-44	3
1-10	45-52	astetan
1-11	53-58	zehar
1-12	59-67	gorakoak
1-13	67-68	,
1-14	69-76	astenia
1-15	77-80	eta
1-16	81-82	7
1-17	83-88	kg-ko
1-18	89-93	pisu
1-19	94-100	galera
1-20	101-105	izan
1-21	106-111	duena
1-22	111-112	.

2-1	114-127	Lehendabiziko
2-2	128-136	egunetan
2-3	137-144	sukarra
2-4	145-148	ere
2-5	149-153	izan
2-6	154-158	zuen
2-7	158-159	.

3-1	161-170	Azterketa
3-2	171-179	fisikoan
3-3	180-186	egoera
3-4	187-193	orokor
3-5	194-200	egokia
3-6	201-204	eta
3-7	205-213	sukarrik
3-8	214-218	gabe
3-9	219-225	zegoen
3-10	225-226	;
3-11	227-231	hala
3-12	232-235	ere
3-13	235-236	,
3-14	237-244	garondo
3-15	245-257	zurruntasuna
3-16	258-261	eta
3-17	262-267	ezker
3-18	268-274	begiko
3-19	275-285	estrabismo
3-20	286-298	konbergentea
3-21	299-309	nabaritzen
3-22	310-318	zitzaion
3-23	318-319	,
3-24	320-329	bestelako
3-25	330-337	klinika
3-26	338-352	neurologikorik
3-27	353-357	gabe
3-28	357-358	.

4-1	360-365	Proba
4-2	366-376	osagarrien
4-3	377-383	artean
4-4	384-392	garuneko
4-5	393-397	OTAk
4-6	398-399	(
4-7	399-410	ordenagailu
4-8	411-418	bidezko
4-9	419-429	tomografia
4-10	430-437	axialak
4-11	437-438	)
4-12	439-448	ezkerreko
4-13	449-455	lobulo
4-14	456-466	frontalean
4-15	467-474	eraztun
4-16	475-484	kontraste
4-17	485-496	kaptaziozko
4-18	497-500	5x5
4-19	501-506	zm-ko
4-20	507-512	lesio
4-21	513-524	hipodentsoa
4-22	525-532	agerian
4-23	533-537	utzi
4-24	538-542	zuen
4-25	542-543	,
4-26	544-549	edema
4-27	550-563	perilesionala
4-28	564-567	eta
4-29	568-574	erdiko
4-30	575-582	marrako
4-31	583-597	desplazamendua
4-32	598-606	eraginez
4-33	606-607	.

5-1	609-613	Sinu
5-2	614-630	esfenoidalarekin
5-3	631-642	komunikazio
5-4	643-657	infundibularra
5-5	658-661	ere
5-6	662-669	agertuz
5-7	669-670	.

6-1	672-677	Sudur
6-2	678-685	mukosan
6-3	686-694	egindako
