1-1	0-2	25
1-2	3-9	urteko
1-3	10-15	mutil
1-4	16-19	bat
1-5	19-20	,
1-6	21-35	Larrialdietara
1-7	36-42	etorri
1-8	43-46	zen
1-9	47-55	sabeleko
1-10	56-61	minez
1-11	61-62	,
1-12	63-69	botaka
1-13	70-73	eta
1-14	74-81	39ºC-ko
1-15	82-94	sukarrarekin
1-16	94-95	.

2-1	96-111	Giltzurrunetako
2-2	112-116	mina
2-3	117-121	zela
2-4	122-131	pentsatuz
2-5	131-132	,
2-6	133-137	alta
2-7	138-142	eman
2-8	143-151	zitzaion
2-9	151-152	.

3-1	153-157	Hala
3-2	158-161	ere
3-3	161-162	,
3-4	163-167	ordu
3-5	168-176	gutxitan
3-6	177-184	berriro
3-7	185-193	bueltatu
3-8	194-197	zen
3-9	198-212	larrialdietara
3-10	212-213	,
3-11	214-222	sabeleko
3-12	223-226	min
3-13	227-239	berdinarekin
3-14	239-240	,
3-15	241-246	batez
3-16	247-250	ere
3-17	251-259	eskumako
3-18	260-264	hobi
3-19	265-273	iliakoan
3-20	273-274	.

4-1	275-284	Analitika
4-2	284-285	,
4-3	286-294	ikusketa
4-4	295-298	eta
4-5	299-312	erradiologiak
4-6	313-322	lagunduta
4-7	322-323	,
4-8	324-336	laparoskopia
4-9	337-342	bidez
4-10	343-346	zer
4-11	347-353	zeukan
4-12	354-361	ikustea
4-13	362-369	erabaki
4-14	370-373	zen
4-15	374-377	eta
4-16	378-389	apendizitis
4-17	390-396	akutua
4-18	397-398	(
4-19	398-400	AP
4-20	400-401	)
4-21	402-406	zela
4-22	407-416	baieztatu
4-23	417-420	zen
4-24	420-421	.

5-1	422-427	Nahiz
5-2	428-431	eta
5-3	432-442	aurrenengo
5-4	443-451	egunetan
5-5	452-458	gaixoa
5-6	459-463	ondo
5-7	464-471	aurkitu
5-8	471-472	,
5-9	473-482	laugarren
5-10	483-490	egunean
5-11	491-498	sukarra
5-12	499-505	agertu
5-13	506-509	zen
5-14	509-510	,
5-15	511-519	sabeleko
5-16	520-525	minez
5-17	526-532	batera
5-18	532-533	.

6-1	534-544	Horregatik
6-2	544-545	,
6-3	546-557	laparotomia
